,stop_name,direction_id,service_date_day,delay_time,month,Temp_Avg,Precipitation,Day_of_Week,slow_day_flag
0,Assembly,0,2020-01-01,100.0,1,39.5,0.0,2,0
1,Assembly,0,2020-01-02,102.0,1,41.5,0.0,3,0
2,Assembly,0,2020-01-03,103.0,1,48.0,0.0,4,1
3,Assembly,0,2020-01-04,101.5,1,44.0,0.13,5,0
4,Assembly,0,2020-01-05,100.0,1,36.5,0.11,6,0
5,Assembly,0,2020-01-06,103.0,1,34.0,0.0,0,1
6,Assembly,0,2020-01-07,103.0,1,37.5,0.0,1,0
7,Assembly,0,2020-01-08,103.0,1,37.0,0.02,2,1
8,Assembly,0,2020-01-09,104.0,1,27.5,0.0,3,1
9,Assembly,0,2020-01-10,102.0,1,41.0,0.0,4,1
10,Assembly,0,2020-01-11,100.5,1,59.5,0.0,5,1
11,Assembly,0,2020-01-12,100.0,1,57.0,0.02,6,1
12,Assembly,0,2020-01-13,105.0,1,39.5,0.01,0,0
13,Assembly,0,2020-01-14,104.0,1,39.5,0.0,1,0
14,Assembly,0,2020-01-15,102.0,1,45.5,0.0,2,0
15,Assembly,0,2020-01-16,103.0,1,38.5,0.1,3,0
16,Assembly,0,2020-01-17,105.0,1,23.0,0.0,4,1
17,Assembly,0,2020-01-18,365.0,1,23.5,0.28,5,0
18,Assembly,0,2020-01-19,346.0,1,34.5,0.02,6,1
19,Assembly,0,2020-01-20,101.0,1,24.5,0.0,0,0
20,Assembly,0,2020-01-21,104.0,1,23.0,0.0,1,1
21,Assembly,0,2020-01-22,104.0,1,29.5,0.0,2,0
22,Assembly,0,2020-01-23,102.5,1,38.0,0.0,3,0
23,Assembly,0,2020-01-24,106.0,1,41.0,0.0,4,1
24,Assembly,0,2020-01-25,354.0,1,45.0,0.7,5,0
25,Assembly,0,2020-01-26,337.0,1,45.5,0.0,6,0
26,Assembly,0,2020-01-27,103.0,1,43.5,0.0,0,0
27,Assembly,0,2020-01-28,103.0,1,39.0,0.0,1,0
28,Assembly,0,2020-01-29,102.0,1,36.0,0.0,2,0
29,Assembly,0,2020-01-30,103.0,1,27.5,0.0,3,0
30,Assembly,0,2020-01-31,101.0,1,38.0,0.0,4,0
31,Assembly,0,2020-02-01,101.0,2,37.5,0.02,5,0
32,Assembly,0,2020-02-02,99.0,2,40.0,0.0,6,0
33,Assembly,0,2020-02-03,102.0,2,42.5,0.0,0,0
34,Assembly,0,2020-02-04,104.5,2,41.0,0.0,1,0
35,Assembly,0,2020-02-05,104.0,2,38.0,0.05,2,0
